Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
35,Kitchen Cabinet,DEMIWALL Storage Sideboard/Cabinet for LivingRoom/Hotel...,"₹15,799","₹22,571","['Suitable For: Storage','Number of Shelves: 2','W x H x D: 1447.8 mm x 762 mm x 431.8 mm (4 ft 9 in x 2 ft 6 in x 1 ft 5 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
36,Kitchen Cabinet,CuteKitchen Ck_KC_29 Harini Crockery cabinet Engineered...,"₹4,158","₹11,800","['Suitable For: Dining &amp; Kitchen Furniture, Storage','Number of Shelves: 3','W x H x D: 600 mm x 600 mm x 200 mm (1 ft 11 in x 1 ft 11 in x 7 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
37,Kitchen Cabinet,Patelraj Wall Mounted Kitchen Stand 24*24 Metal Kitchen...,"₹1,376","₹2,999","['Suitable For: Storage','Number of Shelves: 3','W x H x D: 60.96 mm x 60.96 mm x 25.4 mm (2 in x 2 in x 1 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
38,Kitchen Cabinet,SLIMSHINE Metal Kitchen Cabinet,"₹2,253","₹3,299","['Suitable For: Storage','Number of Shelves: 5','W x H x D: 750 mm x 250 mm x 120 mm (2 ft 5 in x 9 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
39,Kitchen Cabinet,kraft bazaar Solid Wood Kitchen Cabinet,"₹19,999","₹39,999","['Suitable For: Storage','Number of Shelves: 2','Number of Drawers: 4','W x H x D: 1500 mm x 900 mm x 400 mm (4 ft 11 in x 2 ft 11 in x 1 ft 3 in)','Delivery condition: Pre Assembled (Ready to Use)']",Ikea
40,Kitchen Cabinet,Crystal Furnitech Claus Engineered Wood Kitchen Cabinet,"₹2,420","₹3,000","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 4','W x H x D: 69.8 cm x 36.5 cm x 15.7 cm (2 ft 3 in x 1 ft 2 in x 6 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
41,Kitchen Cabinet,Crystal Furnitech Eadric Engineered Wood Kitchen Cabine...,"₹11,390","₹14,846","['Suitable For: Storage','Number of Shelves: 7','W x H x D: 1200 mm x 1380 mm x 400 mm (3 ft 11 in x 4 ft 6 in x 1 ft 3 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
43,Kitchen Cabinet,Flipkart Perfect Homes Studio Metal Kitchen Cabinet,₹569,"₹1,089","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 2','W x H x D: 57 cm x 65 cm x 30 cm (1 ft 10 in x 2 ft 1 in x 11 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
44,Kitchen Cabinet,Xtenshion Crafts Engineered Wood Kitchen Cabinet,₹806,"₹1,530","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 4','W x H x D: 660 mm x 660 mm x 125 mm (2 ft 1 in x 2 ft 1 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
48,Kitchen Cabinet,Flipkart Perfect Homes Engineered Wood Kitchen Cabinet,"₹10,990","₹17,999","['Suitable For: Storage, Dining &amp; Kitchen Furniture','Number of Shelves: 12','Number of Drawers: 1','W x H x D: 800.1 mm x 2005.8 mm x 389.8 mm (2 ft 7 in x 6 ft 6 in x 1 ft 3 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
50,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹628,"₹2,199","['Suitable For: Storage','Number of Shelves: 5','Number of Drawers: 5','W x H x D: 320 mm x 1320 mm x 540 mm (1 ft x 4 ft 3 in x 1 ft 9 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
52,Kitchen Cabinet,Shopixo Plastic Kitchen Cabinet,₹381,"₹1,199","['Suitable For: Storage','Number of Shelves: 2','Number of Drawers: 2','W x H x D: 320 mm x 410 mm x 120 mm (1 ft x 1 ft 4 in x 4 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
53,Kitchen Cabinet,Patelraj Wall Mounted Kitchen Stand 24*30 inch Metal Ki...,"₹1,614","₹3,999","['Suitable For: Storage','Number of Shelves: 4','W x H x D: 60.96 mm x 76.2 mm x 25.4 mm (2 in x 3 in x 1 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
54,Kitchen Cabinet,Home Full Engineered Wood Crockery Cabinet,"₹5,939","₹15,800","['Suitable For: Storage','Number of Shelves: 3','Number of Drawers: 1','W x H x D: 750 mm x 775 mm x 370 mm (2 ft 5 in x 2 ft 6 in x 1 ft 2 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
57,Kitchen Cabinet,HEYMAK 4 PC Multipurpose Wall Holder Bathroom Storage R...,₹334,₹599,"['Suitable For: Storage','Number of Shelves: 4','Number of Drawers: 4','W x H x D: 16 mm x 4 mm x 14 mm','Delivery condition: Pre Assembled (Ready to Use)']",Mob Expert
60,Kitchen Cabinet,KPT Kitchen Steel Cabinet For Multipurpose Use Metal Ki...,₹439,₹800,"['Suitable For: Storage','Number of Shelves: 2','W x H x D: 10 mm x 10 mm x 10 mm','Delivery condition: Pre Assembled (Ready to Use)']",Casa Rusu
61,Kitchen Cabinet,MFS Craft World 11 spice rack Metal Kitchen Cabinet,₹449,"₹1,200","['Suitable For: Storage','Number of Shelves: 2','Number of Drawers: 2','W x H x D: 120 mm x 120 mm x 118 mm (4 in x 4 in x 4 in)','Delivery condition: Pre Assembled (Ready to Use)']",Casa Magica
64,Kitchen Cabinet,Ebee Metal Kitchen Cabinet,₹699,₹999,"['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 3','W x H x D: 570 mm x 480 mm x 300 mm (1 ft 10 in x 1 ft 6 in x 11 in)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
65,Kitchen Cabinet,Woodbuzz Engineered Wood Crockery Cabinet,"₹14,999","₹29,500","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 10','Number of Drawers: 1','W x H x D: 800 mm x 1900 mm x 400 mm (2 ft 7 in x 6 ft 2 in x 1 ft 3 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
67,Kitchen Cabinet,THE ATTIC Solid Wood Crockery Cabinet,"₹12,879","₹22,399","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 3','Number of Drawers: 1','W x H x D: 780 mm x 1180 mm x 350 mm (2 ft 6 in x 3 ft 10 in x 1 ft 1 in)','Delivery condition: Pre Assembled (Ready to Use)']",Mobila Casa
68,Kitchen Cabinet,CMerchants Kitchen Cabinet Kitchen Rack 4 Layer Metal K...,₹593,"₹1,099","['Suitable For: Storage','Number of Shelves: 4','W x H x D: 560 mm x 840 mm x 320 mm (1 ft 10 in x 2 ft 9 in x 1 ft)','Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
69,Kitchen Cabinet,Home Full Engineered Wood Kitchen Cabinet,"₹5,751","₹10,500","['Suitable For: Dining &amp; Kitchen Furniture','Number of Shelves: 3','Number of Drawers: 2','W x H x D: 600 mm x 1120 mm x 350 mm (1 ft 11 in x 3 ft 8 in x 1 ft 1 in)','Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
