Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
66,Bed,Trevi Kyoto Engineered Wood Queen Bed,2392,2887,"['Bed Material Subtype: Particle Board', 'W x H x D: 201.1 cm x 30 cm x 185.9 cm (6 ft 7 in x 11 in x 6 ft 1 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Ikea
67,Bed,alishaank TEAK WOOD ROYAL ELITE Solid Wood King Box Bed,2079,2640,"['Bed Material Subtype: Teak (Sagun)', 'W x H x D: 225 cm x 166 cm x 206 cm (7 ft 4 in x 5 ft 5 in x 6 ft 9 in)', 'Storage Type: Box', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
73,Bed,Wake Up Pluto Sheesham Bed with Storage Rosewood Bedroo...,2351,2475,"['Bed Material Subtype: Rosewood (Sheesham)', 'W x H x D: 187.96 cm x 90.17 cm x 209.55 cm (6 ft 2 in x 2 ft 11 in x 6 ft 10 in)', 'Storage Type: Box', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
77,Bed,FurnitureKraft Nancy Metal Double Bed,2326,2677,"['Bed Material Subtype: Wrought Iron', 'W x H x D: 128.3 cm x 91.5 cm x 205.7 cm (4 ft 2 in x 3 ft x 6 ft 8 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
79,Bed,Hometown King-ston Engineered Wood King Box Bed,2094,2677,"['Bed Material Subtype: Particle Board', 'W x H x D: 207 cm x 110 cm x 190 cm (6 ft 9 in x 3 ft 7 in x 6 ft 2 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mob Expert
81,Bed,Bharat Lifestyle Clinton Engineered Wood Queen Box Bed,2326,2640,"['Bed Material Subtype: Particle Board', 'W x H x D: 155.95 cm x 85.34 cm x 204.21 cm (5 ft 1 in x 2 ft 9 in x 6 ft 8 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
82,Bed,Flipkart Perfect Homes Waltz Engineered Wood Queen Box ...,2310,2677,"['Bed Material Subtype: Particle Board', 'W x H x D: 162 cm x 889 mm x 2179 mm (5 ft 3 in x 2 ft 10 in x 7 ft 1 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Ikea
83,Bed,PURPLE TREE Rosewood (Sheesham) Solid Wood Single Bed,2227,2284,"['Bed Material Subtype: Rosewood (Sheesham)', 'W x H x D: 128.77 cm x 89.91 cm x 215.8 cm (4 ft 2 in x 2 ft 11 in x 7 ft)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mob Expert
85,Bed,Delite Kom Urban Engineered Wood Single Bed,2227,2284,"['Bed Material Subtype: Particle Board', 'W x H x D: 96 cm x 95 cm x 213 cm (3 ft 1 in x 3 ft 1 in x 6 ft 11 in)', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
86,Bed,Trevi Bolton 2.0 Engineered Wood Queen Box Bed,2244,2256,"['Bed Material Subtype: Particle Board', 'W x H x D: 158.8 cm x 80 cm x 198.1 cm (5 ft 2 in x 2 ft 7 in x 6 ft 5 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Jysk
87,Bed,PURPLE TREE Rosewood (Sheesham) Solid Wood King Bed,2269,2449,"['Bed Material Subtype: Rosewood (Sheesham)', 'W x H x D: 187.96 cm x 90.17 cm x 209.55 cm (6 ft 2 in x 2 ft 11 in x 6 ft 10 in)', 'Storage Type: Box', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Rusu
