Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
379,Kitchen Cabinet,SANAMSTORE Plastic Kitchen Cabinet,1424,2006,"['Suitable For: Storage', 'Number of Shelves: 6', 'Number of Drawers: 1', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",FurnitureForYou
384,Kitchen Cabinet,GlowSilk Plastic Kitchen Cabinet,1905,2206,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 6', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Ikea
386,Kitchen Cabinet,DAITORY Plastic Kitchen Cabinet,451,1002,"['Suitable For: Storage', 'Number of Shelves: 7', 'W x H x D: 27 mm x 11 mm x 7 mm (1 in)', 'Pre Assembled (Ready to Use)']",Mob Expert
389,Kitchen Cabinet,URBAN CHOICE Plastic Kitchen Cabinet,1424,2006,"['Suitable For: Storage', 'Number of Shelves: 6', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Jysk
393,Kitchen Cabinet,SANAMSTORE Plastic Kitchen Cabinet,1424,2006,"['Suitable For: Storage', 'Number of Shelves: 6', 'Number of Drawers: 1', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Jysk
394,Kitchen Cabinet,Onprix Metal Kitchen Cabinet,797,1603,"['Suitable For: Storage', 'Number of Shelves: 1', 'W x H x D: 220 mm x 80 mm x 220 mm (8 in x 3 in x 8 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
395,Kitchen Cabinet,Trendy Plastic Kitchen Cabinet,1961,4013,"['Suitable For: Storage', 'Number of Shelves: 5', 'Number of Drawers: 5', 'W x H x D: 29 mm x 95 mm x 49 mm (1 in x 3 in x 1 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
396,Kitchen Cabinet,HXOSET Plastic Kitchen Cabinet Plastic Kitchen Cabinet,400,451,"['Suitable For: Storage', 'Number of Shelves: 6', 'Number of Drawers: 6', 'W x H x D: 25 mm x 11 mm x 7 mm', 'Pre Assembled (Ready to Use)']",Mob Expert
402,Kitchen Cabinet,RSPOL KITCHEN CABINET Engineered Wood Kitchen Cabinet,4012,6019,"['Suitable For: Storage', 'Number of Shelves: 3', 'W x H x D: 62 mm x 62 mm x 36 mm (2 in x 2 in x 1 in)', 'Pre Assembled (Ready to Use)']",Ikea
404,Kitchen Cabinet,SANAMSTORE Plastic Kitchen Cabinet,1424,2006,"['Suitable For: Storage', 'Number of Shelves: 6', 'Number of Drawers: 1', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Mob Expert
405,Kitchen Cabinet,EMERALD Metal Kitchen Cabinet,3009,4013,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 2', 'W x H x D: 228 mm x 431 mm x 228 mm (8 in x 1 ft 4 in x 8 in)', 'Pre Assembled (Ready to Use)']",Mob Expert
406,Kitchen Cabinet,Trendy Daisy 3 Tier Multi-Purpose Kitchen Cabinet - (Gr...,1364,2608,"['Suitable For: Storage', 'Number of Shelves: 3', 'Number of Drawers: 3', 'W x H x D: 400 mm x 1040 mm x 300 mm (1 ft 3 in x 3 ft 4 in x 11 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
407,Kitchen Cabinet,Crystal Furnitech Eadric Engineered Wood Kitchen Cabine...,11429,14896,"['Suitable For: Storage', 'Number of Shelves: 7', 'W x H x D: 1200 mm x 1380 mm x 400 mm (3 ft 11 in x 4 ft 6 in x 1 ft 3 in)', 'Knock Down - Delivered in non-assembled pieces, installation by service partner']",Ikea
408,Kitchen Cabinet,SANAMSTORE Plastic Kitchen Cabinet,1424,2006,"['Suitable For: Storage', 'Number of Shelves: 6', 'Number of Drawers: 1', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Dedeman
409,Kitchen Cabinet,SANAMSTORE Sanam Store Plastic White Kitchen Cabinet Pl...,1424,2006,"['Suitable For: Storage', 'Number of Shelves: 6', 'Number of Drawers: 1', 'W x H x D: 300 mm x 470 mm x 110 mm (11 in x 1 ft 6 in x 4 in)', 'Pre Assembled (Ready to Use)']",Ikea
412,Kitchen Cabinet,Om Shiv Engineered Wood Kitchen Cabinet,5116,10033,"['Suitable For: Storage, Dining &amp; Kitchen Furniture', 'Number of Shelves: 3', 'W x H x D: 610 mm x 910 mm x 330 mm (2 ft x 2 ft 11 in x 1 ft)', 'Pre Assembled (Ready to Use)']",Jysk
413,Kitchen Cabinet,Trendy Lexi 4 Tier (Grey) Multi-Purpose Storage Organiz...,1619,3009,"['Suitable For: Storage', 'Number of Shelves: 4', 'Number of Drawers: 4', 'W x H x D: 29 mm x 75 mm x 49 mm (1 in x 2 in x 1 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
416,Kitchen Cabinet,KARTIK FURNITURE Solid Wood Kitchen Cabinet,11036,17558,"['Suitable For: Storage', 'Number of Shelves: 1', 'Number of Drawers: 3', 'W x H x D: 590 mm x 1110 mm x 400 mm (1 ft 11 in x 3 ft 7 in x 1 ft 3 in)', 'Pre Assembled (Ready to Use)']",Jysk
417,Kitchen Cabinet,Qrex Plastic Kitchen Cabinet,240,300,"['Suitable For: Storage', 'Number of Shelves: 4', 'Number of Drawers: 4', 'W x H x D: 16 mm x 4 mm x 14 mm', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
418,Kitchen Cabinet,HEYMAK 3PC Plastic Bathroom Shower Storage Rack Shelf w...,300,601,"['Suitable For: Storage', 'Number of Shelves: 3', 'Number of Drawers: 3', 'W x H x D: 16 mm x 4 mm x 14 mm', 'Pre Assembled (Ready to Use)']",Casa Magica
