Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
29,Shoerack,CMerchants Home Creative 5 layer collapsible shoe rack ...,49,107,"['Material Subtype: Carbon Steel', 'Width x Height: 60 cm x 98 cm (1 ft 11 in x 3 ft 2 in)', 'Type: Collapsible Shoe Stand', 'Capacity: 15', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
30,Shoerack,dbeautify Plastic Collapsible Shoe Stand,50,148,"['Material Subtype: Carbon Steel', 'Width x Height: 60 cm x 110 cm (1 ft 11 in x 3 ft 7 in)', 'Type: Collapsible Shoe Stand', 'Capacity: 6', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
31,Shoerack,DeckUp Lexis 3-Door Dark Wenge Engineered Wood Shoe Rac...,411,825,"['Material Subtype: Particle Board', 'Width x Height: 114 cm x 68 cm (3 ft 8 in x 2 ft 2 in)', 'Type: Shoe Rack', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
32,Shoerack,GO HOOKED Plastic Shoe Stand,24,58,"['Material Subtype: PP', 'Width x Height: 52 cm x 57 cm (1 ft 8 in x 1 ft 10 in)', 'Type: Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
33,Shoerack,MEZIRE  6 Shelves Steel Cotted Shoe Rack Metal Shoe Sta...,52,247,"['Material Subtype: Cast Iron', 'Width x Height: 65.5 cm x 93 cm (2 ft 1 in x 3 ft)', 'Type: Shoe Stand', 'Capacity: 18', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
34,Shoerack,Flipkart Perfect Homes Studio 3 Shelf Multipurpose Bamb...,56,107,"['Material Subtype: Carbon Steel', 'Width x Height: 50 cm x 52 cm (1 ft 7 in x 1 ft 8 in)', 'Type: Shoe Stand', 'Capacity: 12', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
35,Shoerack,SPECIALITY PANELS Real Texture Dark Wood Velvet Finish ...,289,412,"['Material Subtype: Particle Board', 'Width x Height: 60 cm x 75 cm (1 ft 11 in x 2 ft 5 in)', 'Type: Shoe Rack', 'Capacity: 15', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
36,Shoerack,"EEMWAY Metal, Plastic Shoe Stand",45,165,"['Material Subtype: Carbon Steel', 'Width x Height: 132 cm x 66 cm (4 ft 3 in x 2 ft 1 in)', 'Type: Shoe Stand', 'Capacity: 5', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
37,Shoerack,PYXBE 5 Layer DIY Shoe Rack Multipurpose Storage Organi...,141,412,"['Material Subtype: PC', 'Width x Height: 45 cm x 85 cm (1 ft 5 in x 2 ft 9 in)', 'Type: Collapsible Shoe Stand', 'Capacity: 15', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
38,Shoerack,Flipkart Perfect Homes Studio 5 Door 10 Shelf Plastic M...,167,379,"['Material Subtype: PC', 'Width x Height: 44 cm x 158 cm (1 ft 5 in x 5 ft 2 in)', 'Type: Collapsible Shoe Stand', 'Capacity: 20', 'Delivery Condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",FurnitureForYou
39,Shoerack,Sleepyhead Footsie Vertical Engineered Wood Shoe Rack,371,536,"['Material Subtype: Carbon Steel', 'Width x Height: 45 cm x 90 cm (1 ft 5 in x 2 ft 11 in)', 'Type: Shoe Rack', 'Capacity: 10', 'Delivery Condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Casa Magica
