Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
75,Showcase,Hometown Cash Engineered Wood Display Unit,2156,5920,"['Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",FurnitureForYou
76,Showcase,Xtenshion Crafts Interlock Set Of 6 Engineered Wood Dis...,1063,1504,['Delivery condition: Pre Assembled (Ready to Use)'],FurnitureForYou
77,Showcase,Flipkart Perfect Homes Studio Engineered Wood Display U...,596,2006,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
78,Showcase,StyleWud Ivy shelf Engineered Wood Display Unit,491,1203,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
79,Showcase,Porpoise Acrylic Jewellery Tray Organizer serving Tray ...,803,2006,['Delivery condition: Pre Assembled (Ready to Use)'],Ikea
80,Showcase,Flipkart Perfect Homes Studio Wooden Wall Mounted Float...,1363,5016,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Magica
81,Showcase,Xtenshion Crafts Set up box stand Engineered Wood Displ...,682,1002,['Delivery condition: Pre Assembled (Ready to Use)'],Mobila Casa
82,Showcase,Xtenshion Crafts Engineered Wood Display Unit,708,1002,['Delivery condition: Pre Assembled (Ready to Use)'],Mob Expert
84,Showcase,King Decore Engineered Wood Display Unit,451,1997,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Ikea
85,Showcase,Teakwood stb01 Engineered Wood Display Unit,400,1203,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
86,Showcase,all crafts art U rack wall shelf Solid Wood Display Uni...,451,1355,"['Delivery condition: Pre Assembled (Ready to Use)','Details: Yes']",Casa Rusu
88,Showcase,Decorhand Wall Mount Intersecting Hexagon Wall Shelves ...,1845,4013,['Delivery condition: Pre Assembled (Ready to Use)'],Dedeman
89,Showcase,Raj Handicrafts Engineered Wood Display Unit,692,1204,['Delivery condition: Pre Assembled (Ready to Use)'],Mobila Casa
90,Showcase,Teakwood stb05 Engineered Wood Display Unit,360,1203,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
93,Showcase,classiconline Wall Mount Corner 5 Tier Engineered Wood ...,717,1604,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Magica
94,Showcase,KAWACHI Wooden Corner Display Cabinet Bookshelf Rack wi...,6672,12041,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: wooden display cabinet']",Casa Rusu
95,Showcase,Star Handicrafts Engineered Wood Display Unit,979,3009,['Delivery condition: Pre Assembled (Ready to Use)'],Mob Expert
96,Showcase,woodinto NHDB Engineered Wood Display Unit,641,1303,"['Delivery condition: Pre Assembled (Ready to Use)','Details: shelf,wall shelf']",Mobila Casa
97,Showcase,ekart portal Intersecting Wall Mount Wall Shelf Five Wa...,1201,2006,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: NEW LOOK SHELF']",Dedeman
98,Showcase,"King Decore wall salave , display unit , setupbox self ...",400,802,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
100,Showcase,7CR Display 3 in 1 LRL Shelf Engineered Wood Display Un...,1021,3009,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: 100% HDF Board']",Mobila Casa
101,Showcase,FUTURE GENERATION A GROUP Engineered Wood Display Unit,753,753,"['Delivery condition: Pre Assembled (Ready to Use)','Details: WALL DECORATIVE']",Ikea
102,Showcase,classiconline Engineered Wood Display Unit,800,2608,['Delivery condition: Pre Assembled (Ready to Use)'],Dedeman
103,Showcase,Hometown Engineered Wood Display Unit,3322,9231,"['Delivery condition: Knock Down - Delivered in non-assembled pieces, installation by service partner']",Mobila Casa
104,Showcase,Flipkart Perfect Homes Studio KR-3-Beige Engineered Woo...,1074,2006,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.','Details: MULTIPURPOSE SHELF,HOME WALL DECOR,PERFECT WALL SHELVES,DECORATIVE']",Jysk
105,Showcase,classiconline Set of 6 Engineered Wood Display Unit,1203,1604,['Delivery condition: Pre Assembled (Ready to Use)'],FurnitureForYou
106,Showcase,"SS ARTS Multi Purpose Living Room, Bedroom Wall Corner ...",2344,5007,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mobila Casa
108,Showcase,woodinzo Solid Wood Display Unit,1103,2307,['Delivery condition: Pre Assembled (Ready to Use)'],Casa Magica
109,Showcase,Maaz Handicrafts White & Yellow Cube 6 &Storage Wall Sh...,988,1404,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Mob Expert
110,Showcase,classiconline Engineered Wood Display Unit,762,1002,['Delivery condition: Pre Assembled (Ready to Use)'],Mob Expert
112,Showcase,King Decore Engineered Wood Display Unit,250,701,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
113,Showcase,Flipkart Perfect Homes Studio Wooden Wall Mounted Racks...,1169,3060,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
114,Showcase,"Karam Collections Ted Wall Shelf (Matt Finish, SKY BLUE...",501,1419,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
116,Showcase,Universal Handicraft Engineered Wood Display Unit,1103,2172,"['Delivery condition: DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Jysk
